Country Name,Country Code,,,,,2015,2016,2017,2018,2019
Aruba,ABW,,,,,88.6612,93.5425,97.17,97.17,97.17
Afghanistan,AFG,,,,,8.26,11.2,13.5,13.5,13.5
Angola,AGO,,,,,12.4,13,14.3391,14.3391,14.3391
Albania,ALB,,,,,63.2529,66.3634,71.847,71.847,69.6429
Andorra,AND,,,,,96.91,97.9306,91.5675,91.5675,91.5675
Arab World,ARB,,,,,43.69633566,41.48748034,49.26013233,52.14329561,
United Arab Emirates,ARE,,,,,90.5,90.6,94.8199,98.45,99.15
Argentina,ARG,,,,,68.0431,70.969,74.2949,74.2949,74.2949
Armenia,ARM,,,,,59.1024,64.346,64.7449,64.7449,64.7449
American Samoa,ASM,,,,,,,,,
Antigua and Barbuda,ATG,,,,,70,73,76,76,76
Australia,AUS,,,,,84.5605,86.54,86.545,86.545,86.545
Austria,AUT,,,,,83.9401,84.3237,87.9356,87.7105,87.7522
Azerbaijan,AZE,,,,,77,78.2,79,79.8,79.8
Burundi,BDI,,,,,4.86622,5.17363,2.66075,2.66075,2.66075
Belgium,BEL,,,,,85.0529,86.5165,87.6797,88.6551,90.3705
Benin,BEN,,,,,11.255,11.994,20,20,20
Burkina Faso,BFA,,,,,14,13.96,16,16,16
Bangladesh,BGD,,,,,14.4,18.02,15,15,12.9
Bulgaria,BGR,,,,,56.6563,59.8255,63.4101,64.782,67.947
Bahrain,BHR,,,,,93.4783,98,95.8781,98.6434,99.7015
"Bahamas, The",BHS,,,,,78,80,85,85,85
Bosnia and Herzegovina,BIH,,,,,52.6,60.2565,64.892,70.1201,69.9463
Belarus,BLR,,,,,62.2304,71.113,74.4364,79.1299,82.7892
Belize,BLZ,,,,,41.59,44.5757,47.0826,47.0826,47.0826
Bermuda,BMU,,,,,98.3236,98,98.37,98.37,98.37
Bolivia,BOL,,,,,35.5623,39.6975,43.8323,43.8323,43.8323
Brazil,BRA,,,,,58.328,60.8725,67.4713,67.4713,67.4713
Barbados,BRB,,,,,76.11,79.5494,81.7608,81.7608,81.7608
Brunei Darussalam,BRN,,,,,71.2,90,94.8667,94.6,95
Bhutan,BTN,,,,,39.8,41.7726,48.1064,48.1064,48.1064
Botswana,BWA,,,,,37.3121,39.363,47,47,47
Central African Republic,CAF,,,,,3.8,4,4.33925,4.33925,4.33925
Canada,CAN,,,,,90,91.16,91,91,91
Central Europe and the Baltics,CEB,,,,,67.34946512,71.34198606,73.40958523,75.88779972,
Switzerland,CHE,,,,,87.4791,89.1347,89.6861,89.6861,93.1461
Channel Islands,CHI,,,,,,,,,
Chile,CHL,,,,,76.63,83.5586,82.3275,82.3275,82.3275
China,CHN,,,,,50.3,53.2,54.3,54.3,54.3
Cote d'Ivoire,CIV,,,,,38.44,41.2078,43.8399,46.8237,36.4538
Cameroon,CMR,,,,,20.6801,23.203,23.203,23.203,23.203
"Congo, Dem. Rep.",COD,,,,,3.8,6.20997,8.6199,8.6199,8.6199
"Congo, Rep.",COG,,,,,7.61597,8.12195,8.65,8.65,8.65
Colombia,COL,,,,,55.905,58.1365,62.2599,62.2599,65.0069
Comoros,COM,,,,,7.45916,7.93832,8.47817,8.47817,8.47817
Cabo Verde,CPV,,,,,42.68,50.3228,57.1621,58.1714,58.1714
Costa Rica,CRI,,,,,59.763,65.8804,71.3908,74.0868,81.2026
Caribbean small states,CSS,,,,,50.29546283,52.95321869,59.17636957,59.1730233,
Cuba,CUB,,,,,37.3051,42.9787,57.1484,57.1484,61.8363
Curacao,CUW,,,,,,61.8555,68.1272,68.1272,68.1272
Cayman Islands,CYM,,,,,77,79,81.0677,81.0677,81.0677
Cyprus,CYP,,,,,71.7159,75.9002,80.7432,84.4336,86.0636
Czech Republic,CZE,,,,,75.6688,76.4812,78.7192,80.6882,80.8669
Germany,DEU,,,,,87.5898,84.1652,84.3955,89.7391,88.1345
Djibouti,DJI,,,,,11.9224,13.1349,55.6814,55.6814,55.6814
Dominica,DMA,,,,,65,67.03,69.6197,69.6197,69.6197
Denmark,DNK,,,,,96.3305,96.9678,97.0994,97.6443,98.0464
Dominican Republic,DOM,,,,,54.2158,63.8709,67.5712,74.8243,74.8243
Algeria,DZA,,,,,38.2,42.9455,47.6911,59.5797,59.5797
East Asia & Pacific (excluding high income),EAP,,,,,43.75255541,48.13831924,50.54988865,52.87791335,
Early-demographic dividend,EAR,,,,,25.7726563,30.16674885,38.02905936,39.5251068,
East Asia & Pacific,EAS,,,,,48.46669818,52.61325318,54.47706879,56.61170208,
Europe & Central Asia (excluding high income),ECA,,,,,58.94856043,62.67015166,66.72824312,70.08033352,
Europe & Central Asia,ECS,,,,,70.04305277,72.44542523,75.02852869,78.24639899,
Ecuador,ECU,,,,,48.9404,54.0629,57.2722,57.2722,57.2722
"Egypt, Arab Rep.",EGY,,,,,37.8194,41.2481,44.9502,46.9243,57.2829
Euro area,EMU,,,,,77.47252633,77.98945617,79.6608679,83.78425731,
Eritrea,ERI,,,,,1.08373,1.17712,1.30891,1.30891,1.30891
Spain,ESP,,,,,78.6896,80.5613,84.6022,86.1072,90.7187
Estonia,EST,,,,,88.4097,87.2402,88.1025,89.357,89.5323
Ethiopia,ETH,,,,,13.8552,15.3669,18.6181,18.6181,18.6181
European Union,EUU,,,,,75.65463512,76.91320523,78.75553976,82.39577379,
Fragile and conflict affected situations,FCS,,,,,24.46774535,20.07842248,28.038547,27.93561457,
